,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
symbol,ADM,AGCO,ALCO,ANDE,BG,BGS,BRFS,CAG,CALM,CF,CVGW,DAR,DE,FDP,FLO,HAIN,HRL,INGR,JBSAY,JJSF,JVA,KHC,LANC,LNN,MDLZ,MKC,MOS,PFGC,POST,PPC,SEB,SENEA,SMG,STKL,SYY,THS,TSCO,TSN,UL,UNFI,WW,ADM,AGCO,ALCO,ANDE,BG,BGS,BRFS,CAG,CALM,CF,CVGW,DAR,DE,FDP,FLO,HAIN,HRL,INGR,JBSAY,JJSF,JVA,KHC,LANC,LNN,MDLZ,MKC,MOS,PFGC,POST,PPC,SEB,SENEA,SMG,STKL,SYY,THS,TSCO,TSN,UL,UNFI,WW
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-13,20.99,18.86,50.76,33.9,61.7,,43.7,24.07,5.64,,10.38,3.67,67.03,26.47,33.78,19.77,30.54,22.82,,50.14,5.35,,43.83,21.08,31.45,33.0,13.77,,,35.0,1493.0,16.0,71.64,4.95,37.5,,47.54,18.52,39.26,30.75,48.8,2843800.0,584300.0,54400.0,20200.0,379300.0,,4200.0,3320400.0,226400.0,,5400.0,120400.0,1314300.0,307700.0,144000.0,83800.0,394400.0,484500.0,,30100.0,116600.0,,63700.0,29800.0,1413400.0,1159400.0,666700.0,,,363500.0,4700.0,2000.0,74700.0,149900.0,1340100.0,,466800.0,1119000.0,564400.0,385800.0,320700.0
2005-06-14,20.96,18.85,50.72,33.6,62.01,,43.4,24.36,5.64,,10.49,3.64,67.06,26.59,33.7,20.16,30.57,23.46,,51.3,7.45,,44.0,21.24,31.8,32.85,14.2,,,35.28,1590.0,16.0,71.33,4.92,37.79,,48.95,18.65,39.32,31.07,48.57,2373200.0,636500.0,10200.0,13600.0,325700.0,,10000.0,2230000.0,139500.0,,2500.0,217800.0,1268600.0,141800.0,329778.0,124600.0,281900.0,385900.0,,23900.0,1919600.0,,84100.0,37500.0,1317700.0,384500.0,709000.0,,,401900.0,5100.0,400.0,103800.0,182300.0,1851700.0,,459500.0,708400.0,336700.0,313800.0,778600.0
2005-06-15,21.18,18.74,51.05,34.49,62.15,,42.35,24.07,5.75,,10.35,3.61,66.14,26.62,33.74,19.96,30.74,23.28,,51.03,7.8,,43.58,21.91,31.5,33.34,14.05,,,35.35,1675.0,16.0,72.08,4.85,36.95,,49.28,18.78,39.26,30.88,49.11,3796900.0,756700.0,6500.0,50000.0,427900.0,,2000.0,1565300.0,211600.0,,2800.0,303300.0,1807200.0,143500.0,230242.0,160500.0,222600.0,296500.0,,27800.0,1120200.0,,101700.0,159500.0,1259900.0,602500.0,652800.0,,,323500.0,5300.0,5700.0,180900.0,229200.0,3432700.0,,370500.0,1368800.0,728200.0,259300.0,757800.0
2005-06-16,21.08,18.75,51.15,34.69,61.95,,43.9,23.97,5.83,,10.2,3.58,66.95,26.5,34.39,20.13,30.77,23.25,,51.45,7.3,,43.64,22.08,31.36,33.4,14.87,,,35.81,1695.0,16.23,72.01,5.1,36.86,,49.83,18.79,39.42,30.74,51.56,2409500.0,725200.0,11200.0,18400.0,305100.0,,7800.0,1737300.0,147100.0,,6700.0,401000.0,1807100.0,239600.0,130252.0,124900.0,128100.0,208000.0,,19300.0,265100.0,,75400.0,68100.0,5233300.0,498400.0,1618100.0,,,200800.0,4600.0,5000.0,158100.0,371100.0,1908200.0,,513300.0,854400.0,563900.0,168800.0,1314000.0
2005-06-17,21.4,18.86,51.0,34.85,62.8,,44.9,24.15,6.33,,10.35,3.52,67.93,26.27,33.95,20.17,30.64,23.4,,51.5,7.2,,43.015,21.86,31.42,33.55,14.51,,,35.58,1549.26,16.0,71.61,5.17,37.05,,49.01,18.65,39.59,30.56,51.49,3235200.0,1121200.0,22700.0,12700.0,770100.0,,6300.0,2074600.0,538000.0,,11300.0,227100.0,1689700.0,122400.0,461175.0,322700.0,507300.0,791400.0,,49800.0,218600.0,,277000.0,152800.0,2515400.0,596900.0,1420300.0,,,190100.0,4400.0,10200.0,163300.0,369000.0,2290000.0,,540100.0,8287600.0,537300.0,370900.0,601700.0
2005-06-20,21.38,19.06,51.15,34.8,62.18,,44.5,24.0,6.03,,10.32,3.55,68.12,26.12,34.03,19.79,30.46,23.5,,51.07,7.1,,43.64,21.52,32.03,33.5,14.28,,,35.34,1494.0,16.12,71.82,5.22,37.05,,48.87,18.41,39.15,30.59,51.29,2467500.0,689000.0,14400.0,16900.0,350900.0,,3700.0,1429300.0,141000.0,,10600.0,118400.0,1193300.0,147500.0,124168.0,337000.0,417100.0,449100.0,,14400.0,191100.0,,93200.0,74100.0,2088000.0,344700.0,625600.0,,,265700.0,5800.0,7500.0,83000.0,231000.0,1130500.0,,278400.0,912000.0,509400.0,191500.0,207300.0
2005-06-21,21.53,19.54,51.14,34.7,63.6,,45.5,23.69,6.06,,10.34,3.6,68.12,26.25,34.32,19.83,30.37,23.76,,51.03,8.8,,43.7,21.59,31.88,33.43,14.35,,,35.6,1534.01,15.75,71.21,5.29,36.53,,48.89,18.14,39.39,30.415,51.62,3218100.0,1603800.0,10500.0,10400.0,1144500.0,,3000.0,2672500.0,152600.0,,12800.0,80900.0,1998100.0,186400.0,66252.0,205200.0,292900.0,524800.0,,9000.0,764600.0,,87400.0,70900.0,855600.0,725600.0,717600.0,,,258500.0,4600.0,2900.0,84800.0,268100.0,1715500.0,,171800.0,1256700.0,511000.0,162800.0,509000.0
2005-06-22,21.76,19.43,51.15,34.67,65.1,,45.9,23.91,6.03,,10.25,3.71,67.0,26.15,34.47,19.93,30.25,24.31,,52.46,8.68,,43.94,23.32,31.98,33.56,15.15,,,35.51,1515.05,15.9,71.24,5.77,36.57,,49.27,18.21,39.2,30.43,52.2,2488600.0,973800.0,5500.0,9600.0,979000.0,,4900.0,1844800.0,142700.0,,8900.0,233800.0,1629000.0,148100.0,158420.0,129000.0,144300.0,526000.0,,29600.0,494100.0,,43800.0,357100.0,1249600.0,403100.0,1652200.0,,,219400.0,3500.0,100.0,109300.0,698800.0,1494700.0,,285500.0,617900.0,733300.0,207200.0,584200.0
2005-06-23,21.11,19.03,50.17,34.75,63.81,,45.91,23.34,5.86,,10.33,3.7,66.33,26.23,34.49,19.66,30.04,23.93,,51.43,7.95,,42.84,23.3,31.88,33.18,15.3,,,35.13,1500.0,16.05,70.6,5.46,35.98,,48.875,18.1,38.82,29.88,53.22,1618000.0,514300.0,6200.0,7800.0,514500.0,,2500.0,2542600.0,195200.0,,3700.0,68800.0,1405700.0,96400.0,160020.0,91100.0,200000.0,525100.0,,22800.0,273800.0,,58300.0,215900.0,817700.0,513400.0,2064400.0,,,204400.0,6600.0,6800.0,913300.0,460200.0,2385000.0,,384800.0,740100.0,405500.0,164900.0,617000.0
2005-06-24,21.26,18.8,50.74,34.48,62.74,,45.0,23.28,5.95,,10.28,3.73,65.94,26.13,34.64,19.32,30.01,23.73,,51.14,8.51,,42.92,23.9,31.39,33.26,15.3,,,34.79,1539.95,16.0,70.24,5.55,35.95,,48.1,18.0,38.65,30.0,53.9,2464200.0,4082400.0,29200.0,289700.0,386300.0,,4700.0,2006500.0,517000.0,,1800.0,140700.0,1391800.0,83400.0,265442.0,230400.0,146000.0,523400.0,,43100.0,261000.0,,169000.0,107800.0,1358700.0,512500.0,3612500.0,,,483800.0,2600.0,600.0,317200.0,263800.0,2151300.0,,345600.0,1292100.0,429100.0,186800.0,660100.0
